"","sample","Cell_A","Cell_A_num","Cell_A_count","Cell_B","Cell_B_num","Cell_B_count ","original_CLQ","percentile","significant"
"1","TAFs1","PanCK+Vim+MUC1+","1","69","PanCK+Vim+MUC1+","1","69","111.546035805627","1",TRUE
"2","TAFs1","PanCK+Vim+MUC1+","1","69","PanCK+Vim+MUC1-","2","65","29.6853957636566","0.988",TRUE
"3","TAFs1","PanCK+Vim+MUC1+","1","69","PanCK+Vim-MUC1+","3","955","23.5489490856666","1",TRUE
"4","TAFs1","PanCK+Vim+MUC1+","1","69","PanCK+Vim-MUC1-","4","358","21.5592259736054","0.756",FALSE
"5","TAFs1","PanCK+Vim+MUC1+","1","69","PanCK-Vim-MUC1-","5","518","19.6525935873762","0.408",FALSE
"6","TAFs1","PanCK+Vim+MUC1+","1","69","PanCK-Vim+MUC1+","6","12","0","0.002",TRUE
"7","TAFs1","PanCK+Vim+MUC1+","1","69","PanCK-Vim+MUC1-","7","170","14.8728047740835","0.034",TRUE
"8","TAFs1","PanCK+Vim+MUC1+","1","69","PanCK-Vim-MUC1+","8","105","18.3766735679779","0.388",FALSE
"9","TAFs1","PanCK+Vim+MUC1+","1","69","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","807","16.0775281504229","0",TRUE
"10","TAFs1","PanCK+Vim+MUC1+","1","69","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","41","24.3425238600212","0.832",FALSE
"11","TAFs1","PanCK+Vim+MUC1+","1","69","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","59","13.5327929255711","0.104",FALSE
"12","TAFs1","PanCK+Vim+MUC1+","1","69","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","255","15.9165103722648","0.04",TRUE
"13","TAFs1","PanCK+Vim+MUC1+","1","69","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","14","4.75258799171843","0.014",TRUE
"14","TAFs1","PanCK+Vim+MUC1+","1","69","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","72","2.77234299516908","0",TRUE
"15","TAFs1","PanCK+Vim+MUC1+","1","69","CD90+PDGFRb-PDPN-CAV1-","15","358","21.3733705772812","0.77",FALSE
"16","TAFs1","PanCK+Vim+MUC1+","1","69","CD90-PDGFRb+PDPN-CAV1-","16","145","13.3072463768116","0.008",TRUE
"17","TAFs1","PanCK+Vim+MUC1+","1","69","CD90-PDGFRb-PDPN+CAV1-","17","482","14.3563653857718","0",TRUE
"18","TAFs1","PanCK+Vim+MUC1+","1","69","CD90-PDGFRb-PDPN-CAV1+","18","107","17.4113503995666","0.23",FALSE
"19","TAFs1","PanCK+Vim+MUC1-","2","65","PanCK+Vim+MUC1+","1","69","32.7562987736901","0.998",TRUE
"20","TAFs1","PanCK+Vim+MUC1-","2","65","PanCK+Vim+MUC1-","2","65","52.9730769230769","1",TRUE
"21","TAFs1","PanCK+Vim+MUC1-","2","65","PanCK+Vim-MUC1+","3","955","24.0366492146597","1",TRUE
"22","TAFs1","PanCK+Vim+MUC1-","2","65","PanCK+Vim-MUC1-","4","358","33.1451654490761","1",TRUE
"23","TAFs1","PanCK+Vim+MUC1-","2","65","PanCK-Vim-MUC1-","5","518","15.2715176715177","0",TRUE
"24","TAFs1","PanCK+Vim+MUC1-","2","65","PanCK-Vim+MUC1+","6","12","0","0.002",TRUE
"25","TAFs1","PanCK+Vim+MUC1-","2","65","PanCK-Vim+MUC1-","7","170","20.3582805429864","0.622",FALSE
