"","sample","Cell_A","Cell_A_num","Cell_A_count","Cell_B","Cell_B_num","Cell_B_count ","original_CLQ","percentile","significant"
"1","lepidic_58.6","PanCK+Vim+MUC1+","1","15","PanCK+Vim+MUC1+","1","15","235.066666666667","0.996",TRUE
"2","lepidic_58.6","PanCK+Vim+MUC1+","1","15","PanCK+Vim+MUC1-","2","2198","38.1796178343949","1",TRUE
"3","lepidic_58.6","PanCK+Vim+MUC1+","1","15","PanCK+Vim-MUC1+","3","9","274.244444444444","1",TRUE
"4","lepidic_58.6","PanCK+Vim+MUC1+","1","15","PanCK+Vim-MUC1-","4","1916","35.6403270702853","1",TRUE
"5","lepidic_58.6","PanCK+Vim+MUC1+","1","15","PanCK-Vim-MUC1-","5","446","14.7575485799701","0.412",FALSE
"6","lepidic_58.6","PanCK+Vim+MUC1+","1","15","PanCK-Vim+MUC1+","6","9","0","0.002",TRUE
"7","lepidic_58.6","PanCK+Vim+MUC1+","1","15","PanCK-Vim+MUC1-","7","765","13.9810893246187","0.242",FALSE
"8","lepidic_58.6","PanCK+Vim+MUC1+","1","15","PanCK-Vim-MUC1+","8","12","68.5611111111111","0.984",TRUE
"9","lepidic_58.6","PanCK+Vim+MUC1+","1","15","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","15.8217948717949","0.304",FALSE
"10","lepidic_58.6","PanCK+Vim+MUC1+","1","15","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","0","0.002",TRUE
"11","lepidic_58.6","PanCK+Vim+MUC1+","1","15","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","2.7984126984127","0.004",TRUE
"12","lepidic_58.6","PanCK+Vim+MUC1+","1","15","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","433","5.70023094688222","0.006",TRUE
"13","lepidic_58.6","PanCK+Vim+MUC1+","1","15","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","283","8.72155477031802","0.186",FALSE
"14","lepidic_58.6","PanCK+Vim+MUC1+","1","15","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","1966","10.880501865039","0.004",TRUE
"15","lepidic_58.6","PanCK+Vim+MUC1+","1","15","CD90+PDGFRb-PDPN-CAV1-","15","38","0","0.002",TRUE
"16","lepidic_58.6","PanCK+Vim+MUC1+","1","15","CD90-PDGFRb+PDPN-CAV1-","16","1","0","0.002",TRUE
"17","lepidic_58.6","PanCK+Vim+MUC1+","1","15","CD90-PDGFRb-PDPN+CAV1-","17","30","0","0.002",TRUE
"18","lepidic_58.6","PanCK+Vim+MUC1+","1","15","CD90-PDGFRb-PDPN-CAV1+","18","35","0","0.002",TRUE
"19","lepidic_58.6","PanCK+Vim+MUC1-","2","2198","PanCK+Vim+MUC1+","1","15","32.9392781316348","1",TRUE
"20","lepidic_58.6","PanCK+Vim+MUC1-","2","2198","PanCK+Vim+MUC1-","2","2198","29.8723896801951","1",TRUE
"21","lepidic_58.6","PanCK+Vim+MUC1-","2","2198","PanCK+Vim-MUC1+","3","9","24.9539985845718","0.994",TRUE
"22","lepidic_58.6","PanCK+Vim+MUC1-","2","2198","PanCK+Vim-MUC1-","4","1916","27.2117103041102","1",TRUE
"23","lepidic_58.6","PanCK+Vim+MUC1-","2","2198","PanCK-Vim-MUC1-","5","446","14.3387578189712","0",TRUE
"24","lepidic_58.6","PanCK+Vim+MUC1-","2","2198","PanCK-Vim+MUC1+","6","9","3.11924982307148","0",TRUE
"25","lepidic_58.6","PanCK+Vim+MUC1-","2","2198","PanCK-Vim+MUC1-","7","765","11.9705799092461","0",TRUE
