"","Cell_A","Cell_B","lepidic_58.6"
"1","PanCK+Vim+MUC1+","PanCK+Vim+MUC1+",3.34342571886811
"2","PanCK+Vim+MUC1+","PanCK+Vim+MUC1-",0.269527062670743
"3","PanCK+Vim+MUC1+","PanCK+Vim-MUC1+",3.34342571886811
"4","PanCK+Vim+MUC1+","PanCK+Vim-MUC1-",0.203028721492905
"5","PanCK+Vim+MUC1+","PanCK-Vim-MUC1-",-0.343844503274301
"6","PanCK+Vim+MUC1+","PanCK-Vim+MUC1+",-0.730311667369816
"7","PanCK+Vim+MUC1+","PanCK-Vim+MUC1-",-0.364178233149915
"8","PanCK+Vim+MUC1+","PanCK-Vim-MUC1+",1.06515036582393
"9","PanCK+Vim+MUC1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.315974275094335
"10","PanCK+Vim+MUC1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"11","PanCK+Vim+MUC1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.657027502749663
"12","PanCK+Vim+MUC1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.581035378235925
"13","PanCK+Vim+MUC1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.501913670214427
"14","PanCK+Vim+MUC1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.445375678378743
"15","PanCK+Vim+MUC1+","CD90+PDGFRb-PDPN-CAV1-",-0.730311667369816
"16","PanCK+Vim+MUC1+","CD90-PDGFRb+PDPN-CAV1-",NA
"17","PanCK+Vim+MUC1+","CD90-PDGFRb-PDPN+CAV1-",-0.730311667369816
"18","PanCK+Vim+MUC1+","CD90-PDGFRb-PDPN-CAV1+",-0.730311667369816
"19","PanCK+Vim+MUC1-","PanCK+Vim+MUC1+",0.132294295802431
"20","PanCK+Vim+MUC1-","PanCK+Vim+MUC1-",0.0519793521651188
"21","PanCK+Vim+MUC1-","PanCK+Vim-MUC1+",-0.0768223013302358
"22","PanCK+Vim+MUC1-","PanCK+Vim-MUC1-",-0.0176978850447647
"23","PanCK+Vim+MUC1-","PanCK-Vim-MUC1-",-0.354811695885973
"24","PanCK+Vim+MUC1-","PanCK-Vim+MUC1+",-0.648625496614868
"25","PanCK+Vim+MUC1-","PanCK-Vim+MUC1-",-0.416828974425534
"26","PanCK+Vim+MUC1-","PanCK-Vim-MUC1+",-0.607782411237394
"27","PanCK+Vim+MUC1-","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.388172282938515
"28","PanCK+Vim+MUC1-","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"29","PanCK+Vim+MUC1-","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.42373846733237
"30","PanCK+Vim+MUC1-","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.347273327644999
"31","PanCK+Vim+MUC1-","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.621723902571189
"32","PanCK+Vim+MUC1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.316205162056356
"33","PanCK+Vim+MUC1-","CD90+PDGFRb-PDPN-CAV1-",-0.385939968555536
"34","PanCK+Vim+MUC1-","CD90-PDGFRb+PDPN-CAV1-",NA
"35","PanCK+Vim+MUC1-","CD90-PDGFRb-PDPN+CAV1-",-0.377427409708442
"36","PanCK+Vim+MUC1-","CD90-PDGFRb-PDPN-CAV1+",-0.415236437315017
"37","PanCK+Vim-MUC1+","PanCK+Vim+MUC1+",3.34342571886811
"38","PanCK+Vim-MUC1+","PanCK+Vim+MUC1-",-0.142171237934192
"39","PanCK+Vim-MUC1+","PanCK+Vim-MUC1+",-0.730311667369816
"40","PanCK+Vim-MUC1+","PanCK+Vim-MUC1-",-0.14931664619021
"41","PanCK+Vim-MUC1+","PanCK-Vim-MUC1-",0.0748282578291742
"42","PanCK+Vim-MUC1+","PanCK-Vim+MUC1+",3.25960396194963
"43","PanCK+Vim-MUC1+","PanCK-Vim+MUC1-",-0.40173038024939
"44","PanCK+Vim-MUC1+","PanCK-Vim-MUC1+",-0.730311667369816
"45","PanCK+Vim-MUC1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.0397493469106822
"46","PanCK+Vim-MUC1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"47","PanCK+Vim-MUC1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.608171393002894
"48","PanCK+Vim-MUC1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.564449123887714
"49","PanCK+Vim-MUC1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.47653611497494
"50","PanCK+Vim-MUC1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.237153224885267
"51","PanCK+Vim-MUC1+","CD90+PDGFRb-PDPN-CAV1-",-0.730311667369816
"52","PanCK+Vim-MUC1+","CD90-PDGFRb+PDPN-CAV1-",NA
"53","PanCK+Vim-MUC1+","CD90-PDGFRb-PDPN+CAV1-",-0.730311667369816
"54","PanCK+Vim-MUC1+","CD90-PDGFRb-PDPN-CAV1+",0.295666637312327
"55","PanCK+Vim-MUC1-","PanCK+Vim+MUC1+",0.135558331936565
"56","PanCK+Vim-MUC1-","PanCK+Vim+MUC1-",-0.00887270897677265
"57","PanCK+Vim-MUC1-","PanCK+Vim-MUC1+",-0.111833096436688
"58","PanCK+Vim-MUC1-","PanCK+Vim-MUC1-",0.147155722656649
"59","PanCK+Vim-MUC1-","PanCK-Vim-MUC1-",-0.381235604810942
"60","PanCK+Vim-MUC1-","PanCK-Vim+MUC1+",-0.561635693478962
"61","PanCK+Vim-MUC1-","PanCK-Vim+MUC1-",-0.454917822415992
"62","PanCK+Vim-MUC1-","PanCK-Vim-MUC1+",-0.547579362321392
"63","PanCK+Vim-MUC1-","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.448103787975503
"64","PanCK+Vim-MUC1-","aSMA+CD90+PDGFRb-PDPN+CAV1+",NA
"65","PanCK+Vim-MUC1-","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.567372971502461
